ts,td,vs,vd,vd - vs,vd + vs,r,q,q_c
14.76,10.27,0.0001016260162601626,0.00014605647517039924,4.443045891023664e-05,0.00024768249143056187,4.636443209493493e-07,8.069824596139605e-20,8.069824596139605e-20
4.99,4.38,0.0003006012024048096,0.00034246575342465754,4.186455101984793e-05,0.0006430669558294671,4.500572519803436e-07,2.0337979292707114e-19,2.0337979292707114e-19
12.94,8.35,0.00011591962905718702,0.00017964071856287425,6.372108950568723e-05,0.00029556034762006126,5.552468986997321e-07,1.1532305882948072e-19,1.1532305882948072e-19
5.79,4.89,0.00025906735751295336,0.00030674846625766873,4.7681108744715374e-05,0.0005658158237706221,4.803056748944871e-07,1.9097505762816887e-19,1.9097505762816887e-19
72.58,16.74,2.0666850372003308e-05,8.96057347670251e-05,6.89388843950218e-05,0.00011027258513902841,5.77532821808829e-07,4.4753609649168315e-20,4.4753609649168315e-20
